dteday,season,yr,mnth,holiday,weekday,weathersit,casual,registered,cnt
2011-02-23,springer,0,2,0,3,1,139,1778,1917
2011-02-24,springer,0,2,0,4,2,100,1707,1807
2011-02-25,springer,0,2,0,5,2,120,1341,1461
2011-02-26,springer,0,2,0,6,1,424,1545,1969
2011-02-27,springer,0,2,0,0,1,694,1708,2402
2011-02-28,springer,0,2,0,1,2,81,1365,1446
2011-03-01,springer,0,3,0,2,1,137,1714,1851
2011-03-02,springer,0,3,0,3,1,231,1903,2134
2011-03-03,springer,0,3,0,4,1,123,1562,1685
2011-03-04,springer,0,3,0,5,2,214,1730,1944
2011-03-05,springer,0,3,0,6,2,640,1437,2077
2011-03-06,springer,0,3,0,0,2,114,491,605
2011-03-07,springer,0,3,0,1,1,244,1628,1872
2011-03-08,springer,0,3,0,2,1,316,1817,2133
2011-03-09,springer,0,3,0,3,2,191,1700,1891
2011-03-10,springer,0,3,0,4,3,46,577,623
2011-03-11,springer,0,3,0,5,2,247,1730,1977
2011-03-12,springer,0,3,0,6,1,724,1408,2132
2011-03-13,springer,0,3,0,0,1,982,1435,2417
2011-03-14,springer,0,3,0,1,1,359,1687,2046
2011-03-15,springer,0,3,0,2,2,289,1767,2056
2011-03-16,springer,0,3,0,3,2,321,1871,2192
2011-03-17,springer,0,3,0,4,1,424,2320,2744
2011-03-18,springer,0,3,0,5,1,884,2355,3239
2011-03-19,springer,0,3,0,6,1,1424,1693,3117
2011-03-20,springer,0,3,0,0,1,1047,1424,2471
2011-03-21,summer,0,3,0,1,2,401,1676,2077
2011-03-22,summer,0,3,0,2,1,460,2243,2703
2011-03-23,summer,0,3,0,3,2,203,1918,2121
2011-03-24,summer,0,3,0,4,2,166,1699,1865
2011-03-25,summer,0,3,0,5,1,300,1910,2210
2011-03-26,summer,0,3,0,6,1,981,1515,2496
2011-03-27,summer,0,3,0,0,2,472,1221,1693
2011-03-28,summer,0,3,0,1,1,222,1806,2028
2011-03-29,summer,0,3,0,2,1,317,2108,2425
2011-03-30,summer,0,3,0,3,2,168,1368,1536
2011-03-31,summer,0,3,0,4,3,179,1506,1685
2011-04-01,summer,0,4,0,5,2,307,1920,2227
2011-04-02,summer,0,4,0,6,2,898,1354,2252
2011-04-03,summer,0,4,0,0,1,1651,1598,3249
2011-04-04,summer,0,4,0,1,1,734,2381,3115
2011-04-05,summer,0,4,0,2,2,167,1628,1795
2011-04-06,summer,0,4,0,3,1,413,2395,2808
2011-04-07,summer,0,4,0,4,1,571,2570,3141
2011-04-08,summer,0,4,0,5,2,172,1299,1471
2011-04-09,summer,0,4,0,6,2,879,1576,2455
2011-04-10,summer,0,4,0,0,2,1188,1707,2895
2011-04-11,summer,0,4,0,1,2,855,2493,3348
2011-04-12,summer,0,4,0,2,2,257,1777,2034
2011-04-13,summer,0,4,0,3,2,209,1953,2162
2011-04-14,summer,0,4,0,4,1,529,2738,3267
2011-04-15,summer,0,4,1,5,1,642,2484,3126
2011-04-16,summer,0,4,0,6,3,121,674,795
2011-04-17,summer,0,4,0,0,1,1558,2186,3744
2011-04-18,summer,0,4,0,1,1,669,2760,3429
2011-04-19,summer,0,4,0,2,2,409,2795,3204
2011-04-20,summer,0,4,0,3,1,613,3331,3944
2011-04-21,summer,0,4,0,4,1,745,3444,4189
2011-04-22,summer,0,4,0,5,2,177,1506,1683
2011-04-23,summer,0,4,0,6,2,1462,2574,4036
2011-04-24,summer,0,4,0,0,2,1710,2481,4191
2011-04-25,summer,0,4,0,1,1,773,3300,4073
2011-04-26,summer,0,4,0,2,1,678,3722,4400
2011-04-27,summer,0,4,0,3,2,547,3325,3872
2011-04-28,summer,0,4,0,4,2,569,3489,4058
2011-04-29,summer,0,4,0,5,1,878,3717,4595
2011-04-30,summer,0,4,0,6,1,1965,3347,5312
2011-05-01,summer,0,5,0,0,2,1138,2213,3351
2011-05-02,summer,0,5,0,1,2,847,3554,4401
2011-05-03,summer,0,5,0,2,2,603,3848,4451
2011-05-04,summer,0,5,0,3,2,255,2378,2633
2011-05-05,summer,0,5,0,4,1,614,3819,4433
2011-05-06,summer,0,5,0,5,1,894,3714,4608
2011-05-07,summer,0,5,0,6,1,1612,3102,4714
2011-05-08,summer,0,5,0,0,1,1401,2932,4333
2011-05-09,summer,0,5,0,1,1,664,3698,4362
2011-05-10,summer,0,5,0,2,1,694,4109,4803
2011-05-11,summer,0,5,0,3,1,550,3632,4182
2011-05-12,summer,0,5,0,4,1,695,4169,4864
2011-05-13,summer,0,5,0,5,2,692,3413,4105
2011-05-14,summer,0,5,0,6,2,902,2507,3409
2011-05-15,summer,0,5,0,0,2,1582,2971,4553
2011-05-16,summer,0,5,0,1,1,773,3185,3958
2011-05-17,summer,0,5,0,2,2,678,3445,4123
2011-05-18,summer,0,5,0,3,2,536,3319,3855
2011-05-19,summer,0,5,0,4,2,735,3840,4575
2011-05-20,summer,0,5,0,5,1,909,4008,4917
2011-05-21,summer,0,5,0,6,1,2258,3547,5805
2011-05-22,summer,0,5,0,0,1,1576,3084,4660
2011-05-23,summer,0,5,0,1,2,836,3438,4274
2011-05-24,summer,0,5,0,2,2,659,3833,4492
2011-05-25,summer,0,5,0,3,1,740,4238,4978
2011-05-26,summer,0,5,0,4,1,758,3919,4677
2011-05-27,summer,0,5,0,5,1,871,3808,4679
2011-05-28,summer,0,5,0,6,1,2001,2757,4758
2011-05-29,summer,0,5,0,0,1,2355,2433,4788
2011-05-30,summer,0,5,1,1,1,1549,2549,4098
2011-05-31,summer,0,5,0,2,1,673,3309,3982
2011-06-01,summer,0,6,0,3,2,513,3461,3974
2011-06-02,summer,0,6,0,4,1,736,4232,4968
2011-06-03,summer,0,6,0,5,1,898,4414,5312
2011-06-04,summer,0,6,0,6,1,1869,3473,5342
2011-06-05,summer,0,6,0,0,2,1685,3221,4906
2011-06-06,summer,0,6,0,1,1,673,3875,4548
2011-06-07,summer,0,6,0,2,1,763,4070,4833
2011-06-08,summer,0,6,0,3,1,676,3725,4401
2011-06-09,summer,0,6,0,4,2,563,3352,3915
2011-06-10,summer,0,6,0,5,1,815,3771,4586
2011-06-11,summer,0,6,0,6,1,1729,3237,4966
2011-06-12,summer,0,6,0,0,1,1467,2993,4460
2011-06-13,summer,0,6,0,1,1,863,4157,5020
2011-06-14,summer,0,6,0,2,1,727,4164,4891
2011-06-15,summer,0,6,0,3,1,769,4411,5180
2011-06-16,summer,0,6,0,4,2,545,3222,3767
2011-06-17,summer,0,6,0,5,1,863,3981,4844
2011-06-18,summer,0,6,0,6,1,1807,3312,5119
2011-06-19,summer,0,6,0,0,2,1639,3105,4744
2011-06-20,summer,0,6,0,1,2,699,3311,4010
2011-06-21,fall,0,6,0,2,2,774,4061,4835
2011-06-22,fall,0,6,0,3,1,661,3846,4507
2011-06-23,fall,0,6,0,4,2,746,4044,4790
2011-06-24,fall,0,6,0,5,1,969,4022,4991
2011-06-25,fall,0,6,0,6,1,1782,3420,5202
2011-06-26,fall,0,6,0,0,1,1920,3385,5305
2011-06-27,fall,0,6,0,1,2,854,3854,4708
2011-06-28,fall,0,6,0,2,1,732,3916,4648
2011-06-29,fall,0,6,0,3,1,848,4377,5225
2011-06-30,fall,0,6,0,4,1,1027,4488,5515
2011-07-01,fall,0,7,0,5,1,1246,4116,5362
2011-07-02,fall,0,7,0,6,1,2204,2915,5119
2011-07-03,fall,0,7,0,0,2,2282,2367,4649
2011-07-04,fall,0,7,1,1,2,3065,2978,6043
2011-07-05,fall,0,7,0,2,1,1031,3634,4665
2011-07-06,fall,0,7,0,3,1,784,3845,4629
2011-07-07,fall,0,7,0,4,1,754,3838,4592
2011-07-08,fall,0,7,0,5,2,692,3348,4040
2011-07-09,fall,0,7,0,6,1,1988,3348,5336
2011-07-10,fall,0,7,0,0,1,1743,3138,4881
2011-07-11,fall,0,7,0,1,1,723,3363,4086
2011-07-12,fall,0,7,0,2,1,662,3596,4258
2011-07-13,fall,0,7,0,3,1,748,3594,4342
2011-07-14,fall,0,7,0,4,1,888,4196,5084
2011-07-15,fall,0,7,0,5,1,1318,4220,5538
2011-07-16,fall,0,7,0,6,1,2418,3505,5923
2011-07-17,fall,0,7,0,0,1,2006,3296,5302
2011-07-18,fall,0,7,0,1,1,841,3617,4458
2011-07-19,fall,0,7,0,2,1,752,3789,4541
2011-07-20,fall,0,7,0,3,1,644,3688,4332
2011-07-21,fall,0,7,0,4,2,632,3152,3784
2011-07-22,fall,0,7,0,5,1,562,2825,3387
2011-07-23,fall,0,7,0,6,1,987,2298,3285
2011-07-24,fall,0,7,0,0,1,1050,2556,3606
2011-07-25,fall,0,7,0,1,1,568,3272,3840
2011-07-26,fall,0,7,0,2,1,750,3840,4590
2011-07-27,fall,0,7,0,3,1,755,3901,4656
2011-07-28,fall,0,7,0,4,1,606,3784,4390
2011-07-29,fall,0,7,0,5,1,670,3176,3846
2011-07-30,fall,0,7,0,6,1,1559,2916,4475
2011-07-31,fall,0,7,0,0,1,1524,2778,4302
2011-08-01,fall,0,8,0,1,1,729,3537,4266
2011-08-02,fall,0,8,0,2,1,801,4044,4845
2011-08-03,fall,0,8,0,3,2,467,3107,3574
2011-08-04,fall,0,8,0,4,2,799,3777,4576
2011-08-05,fall,0,8,0,5,1,1023,3843,4866
2011-08-06,fall,0,8,0,6,2,1521,2773,4294
2011-08-07,fall,0,8,0,0,1,1298,2487,3785
2011-08-08,fall,0,8,0,1,1,846,3480,4326
2011-08-09,fall,0,8,0,2,1,907,3695,4602
2011-08-10,fall,0,8,0,3,1,884,3896,4780
2011-08-11,fall,0,8,0,4,1,812,3980,4792
2011-08-12,fall,0,8,0,5,1,1051,3854,4905
2011-08-13,fall,0,8,0,6,2,1504,2646,4150
2011-08-14,fall,0,8,0,0,2,1338,2482,3820
2011-08-15,fall,0,8,0,1,1,775,3563,4338
2011-08-16,fall,0,8,0,2,1,721,4004,4725
2011-08-17,fall,0,8,0,3,1,668,4026,4694
2011-08-18,fall,0,8,0,4,1,639,3166,3805
2011-08-19,fall,0,8,0,5,2,797,3356,4153
2011-08-20,fall,0,8,0,6,1,1914,3277,5191
2011-08-21,fall,0,8,0,0,1,1249,2624,3873
2011-08-22,fall,0,8,0,1,1,833,3925,4758
2011-08-23,fall,0,8,0,2,1,1281,4614,5895
2011-08-24,fall,0,8,0,3,1,949,4181,5130
2011-08-25,fall,0,8,0,4,2,435,3107,3542
2011-08-26,fall,0,8,0,5,1,768,3893,4661
2011-08-27,fall,0,8,0,6,2,226,889,1115
2011-08-28,fall,0,8,0,0,1,1415,2919,4334
2011-08-29,fall,0,8,0,1,1,729,3905,4634
2011-08-30,fall,0,8,0,2,1,775,4429,5204
2011-08-31,fall,0,8,0,3,1,688,4370,5058
2011-09-01,fall,0,9,0,4,1,783,4332,5115
2011-09-02,fall,0,9,0,5,2,875,3852,4727
2011-09-03,fall,0,9,0,6,1,1935,2549,4484
2011-09-04,fall,0,9,0,0,1,2521,2419,4940
2011-09-05,fall,0,9,1,1,2,1236,2115,3351
2011-09-06,fall,0,9,0,2,3,204,2506,2710
2011-09-07,fall,0,9,0,3,3,118,1878,1996
2011-09-08,fall,0,9,0,4,3,153,1689,1842
2011-09-09,fall,0,9,0,5,2,417,3127,3544
2011-09-10,fall,0,9,0,6,1,1750,3595,5345
2011-09-11,fall,0,9,0,0,1,1633,3413,5046
2011-09-12,fall,0,9,0,1,1,690,4023,4713
2011-09-13,fall,0,9,0,2,1,701,4062,4763
2011-09-14,fall,0,9,0,3,1,647,4138,4785
2011-09-15,fall,0,9,0,4,2,428,3231,3659
2011-09-16,fall,0,9,0,5,2,742,4018,4760
2011-09-17,fall,0,9,0,6,2,1434,3077,4511
2011-09-18,fall,0,9,0,0,1,1353,2921,4274
2011-09-19,fall,0,9,0,1,2,691,3848,4539
2011-09-20,fall,0,9,0,2,2,438,3203,3641
2011-09-21,fall,0,9,0,3,2,539,3813,4352
2011-09-22,fall,0,9,0,4,2,555,4240,4795
2011-09-23,winter,0,9,0,5,2,258,2137,2395
2011-09-24,winter,0,9,0,6,2,1776,3647,5423
2011-09-25,winter,0,9,0,0,2,1544,3466,5010
2011-09-26,winter,0,9,0,1,2,684,3946,4630
2011-09-27,winter,0,9,0,2,2,477,3643,4120
2011-09-28,winter,0,9,0,3,2,480,3427,3907
2011-09-29,winter,0,9,0,4,1,653,4186,4839
2011-09-30,winter,0,9,0,5,1,830,4372,5202
2011-10-01,winter,0,10,0,6,2,480,1949,2429
2011-10-02,winter,0,10,0,0,2,616,2302,2918
2011-10-03,winter,0,10,0,1,2,330,3240,3570
2011-10-04,winter,0,10,0,2,1,486,3970,4456
2011-10-05,winter,0,10,0,3,1,559,4267,4826
2011-10-06,winter,0,10,0,4,1,639,4126,4765
2011-10-07,winter,0,10,0,5,1,949,4036,4985
2011-10-08,winter,0,10,0,6,1,2235,3174,5409
2011-10-09,winter,0,10,0,0,1,2397,3114,5511
2011-10-10,winter,0,10,1,1,1,1514,3603,5117
2011-10-11,winter,0,10,0,2,2,667,3896,4563
2011-10-12,winter,0,10,0,3,3,217,2199,2416
2011-10-13,winter,0,10,0,4,2,290,2623,2913
2011-10-14,winter,0,10,0,5,2,529,3115,3644
2011-10-15,winter,0,10,0,6,1,1899,3318,5217
2011-10-16,winter,0,10,0,0,1,1748,3293,5041
2011-10-17,winter,0,10,0,1,1,713,3857,4570
2011-10-18,winter,0,10,0,2,2,637,4111,4748
2011-10-19,winter,0,10,0,3,3,254,2170,2424
2011-10-20,winter,0,10,0,4,1,471,3724,4195
2011-10-21,winter,0,10,0,5,1,676,3628,4304
2011-10-22,winter,0,10,0,6,1,1499,2809,4308
2011-10-23,winter,0,10,0,0,1,1619,2762,4381
2011-10-24,winter,0,10,0,1,1,699,3488,4187
2011-10-25,winter,0,10,0,2,1,695,3992,4687
2011-10-26,winter,0,10,0,3,2,404,3490,3894
2011-10-27,winter,0,10,0,4,2,240,2419,2659
2011-10-28,winter,0,10,0,5,2,456,3291,3747
2011-10-29,winter,0,10,0,6,3,57,570,627
2011-10-30,winter,0,10,0,0,1,885,2446,3331
2011-10-31,winter,0,10,0,1,1,362,3307,3669
2011-11-01,winter,0,11,0,2,1,410,3658,4068
2011-11-02,winter,0,11,0,3,1,370,3816,4186
2011-11-03,winter,0,11,0,4,1,318,3656,3974
2011-11-04,winter,0,11,0,5,2,470,3576,4046
2011-11-05,winter,0,11,0,6,1,1156,2770,3926
2011-11-06,winter,0,11,0,0,1,952,2697,3649
2011-11-07,winter,0,11,0,1,1,373,3662,4035
2011-11-08,winter,0,11,0,2,1,376,3829,4205
2011-11-09,winter,0,11,0,3,1,305,3804,4109
2011-11-10,winter,0,11,0,4,2,190,2743,2933
2011-11-11,winter,0,11,1,5,1,440,2928,3368
2011-11-12,winter,0,11,0,6,1,1275,2792,4067
2011-11-13,winter,0,11,0,0,1,1004,2713,3717
2011-11-14,winter,0,11,0,1,1,595,3891,4486
2011-11-15,winter,0,11,0,2,2,449,3746,4195
2011-11-16,winter,0,11,0,3,3,145,1672,1817
2011-11-17,winter,0,11,0,4,2,139,2914,3053
2011-11-18,winter,0,11,0,5,1,245,3147,3392
2011-11-19,winter,0,11,0,6,1,943,2720,3663
2011-11-20,winter,0,11,0,0,2,787,2733,3520
2011-11-21,winter,0,11,0,1,3,220,2545,2765
2011-11-22,winter,0,11,0,2,3,69,1538,1607
2011-11-23,winter,0,11,0,3,2,112,2454,2566
2011-11-24,winter,0,11,1,4,1,560,935,1495
2011-11-25,winter,0,11,0,5,1,1095,1697,2792
2011-11-26,winter,0,11,0,6,1,1249,1819,3068
2011-11-27,winter,0,11,0,0,1,810,2261,3071
2011-11-28,winter,0,11,0,1,1,253,3614,3867
2011-11-29,winter,0,11,0,2,2,96,2818,2914
2011-11-30,winter,0,11,0,3,1,188,3425,3613
2011-12-01,winter,0,12,0,4,1,182,3545,3727
2011-12-02,winter,0,12,0,5,1,268,3672,3940
2011-12-03,winter,0,12,0,6,1,706,2908,3614
2011-12-04,winter,0,12,0,0,1,634,2851,3485
2011-12-05,winter,0,12,0,1,2,233,3578,3811
2011-12-06,winter,0,12,0,2,3,126,2468,2594
2011-12-07,winter,0,12,0,3,3,50,655,705
2011-12-08,winter,0,12,0,4,1,150,3172,3322
2011-12-09,winter,0,12,0,5,1,261,3359,3620
2011-12-10,winter,0,12,0,6,1,502,2688,3190
2011-12-11,winter,0,12,0,0,1,377,2366,2743
2011-12-12,winter,0,12,0,1,1,143,3167,3310
2011-12-13,winter,0,12,0,2,1,155,3368,3523
2011-12-14,winter,0,12,0,3,2,178,3562,3740
2011-12-15,winter,0,12,0,4,2,181,3528,3709
2011-12-16,winter,0,12,0,5,2,178,3399,3577
2011-12-17,winter,0,12,0,6,2,275,2464,2739
2011-12-18,winter,0,12,0,0,1,220,2211,2431
2011-12-19,winter,0,12,0,1,1,260,3143,3403
2011-12-20,winter,0,12,0,2,2,216,3534,3750
2011-12-21,springer,0,12,0,3,2,107,2553,2660
2011-12-22,springer,0,12,0,4,2,227,2841,3068
2011-12-23,springer,0,12,0,5,1,163,2046,2209
2011-12-24,springer,0,12,0,6,1,155,856,1011
2011-12-25,springer,0,12,0,0,1,303,451,754
2011-12-26,springer,0,12,1,1,1,430,887,1317
2011-12-27,springer,0,12,0,2,2,103,1059,1162
2011-12-28,springer,0,12,0,3,1,255,2047,2302
2011-12-29,springer,0,12,0,4,1,254,2169,2423
2011-12-30,springer,0,12,0,5,1,491,2508,2999
2011-12-31,springer,0,12,0,6,1,665,1820,2485
2012-01-01,springer,1,1,0,0,1,686,1608,2294
2012-01-02,springer,1,1,1,1,1,244,1707,1951
2012-01-03,springer,1,1,0,2,1,89,2147,2236
2012-01-04,springer,1,1,0,3,2,95,2273,2368
2012-01-05,springer,1,1,0,4,1,140,3132,3272
2012-01-06,springer,1,1,0,5,1,307,3791,4098
2012-01-07,springer,1,1,0,6,1,1070,3451,4521
2012-01-08,springer,1,1,0,0,1,599,2826,3425
2012-01-09,springer,1,1,0,1,2,106,2270,2376
2012-01-10,springer,1,1,0,2,1,173,3425,3598
2012-01-11,springer,1,1,0,3,2,92,2085,2177
2012-01-12,springer,1,1,0,4,2,269,3828,4097
2012-01-13,springer,1,1,0,5,1,174,3040,3214
2012-01-14,springer,1,1,0,6,1,333,2160,2493
2012-01-15,springer,1,1,0,0,1,284,2027,2311
2012-01-16,springer,1,1,1,1,1,217,2081,2298
2012-01-17,springer,1,1,0,2,2,127,2808,2935
2012-01-18,springer,1,1,0,3,1,109,3267,3376
2012-01-19,springer,1,1,0,4,1,130,3162,3292
2012-01-20,springer,1,1,0,5,2,115,3048,3163
2012-01-21,springer,1,1,0,6,2,67,1234,1301
2012-01-22,springer,1,1,0,0,2,196,1781,1977
2012-01-23,springer,1,1,0,1,2,145,2287,2432
2012-01-24,springer,1,1,0,2,1,439,3900,4339
2012-01-25,springer,1,1,0,3,1,467,3803,4270
2012-01-26,springer,1,1,0,4,2,244,3831,4075
2012-01-27,springer,1,1,0,5,2,269,3187,3456
2012-01-28,springer,1,1,0,6,1,775,3248,4023
2012-01-29,springer,1,1,0,0,1,558,2685,3243
2012-01-30,springer,1,1,0,1,1,126,3498,3624
2012-01-31,springer,1,1,0,2,1,324,4185,4509
2012-02-01,springer,1,2,0,3,1,304,4275,4579
2012-02-02,springer,1,2,0,4,2,190,3571,3761
2012-02-03,springer,1,2,0,5,1,310,3841,4151
2012-02-04,springer,1,2,0,6,2,384,2448,2832
2012-02-05,springer,1,2,0,0,2,318,2629,2947
2012-02-06,springer,1,2,0,1,1,206,3578,3784
2012-02-07,springer,1,2,0,2,1,199,4176,4375
2012-02-08,springer,1,2,0,3,2,109,2693,2802
2012-02-09,springer,1,2,0,4,1,163,3667,3830
2012-02-10,springer,1,2,0,5,2,227,3604,3831
2012-02-11,springer,1,2,0,6,3,192,1977,2169
2012-02-12,springer,1,2,0,0,1,73,1456,1529
2012-02-13,springer,1,2,0,1,1,94,3328,3422
2012-02-14,springer,1,2,0,2,2,135,3787,3922
2012-02-15,springer,1,2,0,3,1,141,4028,4169
2012-02-16,springer,1,2,0,4,2,74,2931,3005
2012-02-17,springer,1,2,0,5,1,349,3805,4154
2012-02-18,springer,1,2,0,6,1,1435,2883,4318
2012-02-19,springer,1,2,0,0,2,618,2071,2689
2012-02-20,springer,1,2,1,1,1,502,2627,3129
2012-02-21,springer,1,2,0,2,1,163,3614,3777
2012-02-22,springer,1,2,0,3,1,394,4379,4773
2012-02-23,springer,1,2,0,4,1,516,4546,5062
2012-02-24,springer,1,2,0,5,2,246,3241,3487
2012-02-25,springer,1,2,0,6,1,317,2415,2732
2012-02-26,springer,1,2,0,0,1,515,2874,3389
2012-02-27,springer,1,2,0,1,1,253,4069,4322
2012-02-28,springer,1,2,0,2,1,229,4134,4363
2012-02-29,springer,1,2,0,3,2,65,1769,1834
2012-03-01,springer,1,3,0,4,1,325,4665,4990
2012-03-02,springer,1,3,0,5,2,246,2948,3194
2012-03-03,springer,1,3,0,6,2,956,3110,4066
2012-03-04,springer,1,3,0,0,1,710,2713,3423
2012-03-05,springer,1,3,0,1,1,203,3130,3333
2012-03-06,springer,1,3,0,2,1,221,3735,3956
2012-03-07,springer,1,3,0,3,1,432,4484,4916
2012-03-08,springer,1,3,0,4,1,486,4896,5382
2012-03-09,springer,1,3,0,5,2,447,4122,4569
2012-03-10,springer,1,3,0,6,1,968,3150,4118
2012-03-11,springer,1,3,0,0,1,1658,3253,4911
2012-03-12,springer,1,3,0,1,1,838,4460,5298
2012-03-13,springer,1,3,0,2,1,762,5085,5847
2012-03-14,springer,1,3,0,3,1,997,5315,6312
2012-03-15,springer,1,3,0,4,1,1005,5187,6192
2012-03-16,springer,1,3,0,5,2,548,3830,4378
2012-03-17,springer,1,3,0,6,2,3155,4681,7836
2012-03-18,springer,1,3,0,0,2,2207,3685,5892
2012-03-19,springer,1,3,0,1,1,982,5171,6153
2012-03-20,springer,1,3,0,2,1,1051,5042,6093
2012-03-21,summer,1,3,0,3,2,1122,5108,6230
2012-03-22,summer,1,3,0,4,1,1334,5537,6871
2012-03-23,summer,1,3,0,5,2,2469,5893,8362
2012-03-24,summer,1,3,0,6,2,1033,2339,3372
2012-03-25,summer,1,3,0,0,2,1532,3464,4996
2012-03-26,summer,1,3,0,1,1,795,4763,5558
2012-03-27,summer,1,3,0,2,1,531,4571,5102
2012-03-28,summer,1,3,0,3,1,674,5024,5698
2012-03-29,summer,1,3,0,4,1,834,5299,6133
2012-03-30,summer,1,3,0,5,2,796,4663,5459
2012-03-31,summer,1,3,0,6,2,2301,3934,6235
2012-04-01,summer,1,4,0,0,2,2347,3694,6041
2012-04-02,summer,1,4,0,1,1,1208,4728,5936
2012-04-03,summer,1,4,0,2,1,1348,5424,6772
2012-04-04,summer,1,4,0,3,1,1058,5378,6436
2012-04-05,summer,1,4,0,4,1,1192,5265,6457
2012-04-06,summer,1,4,0,5,1,1807,4653,6460
2012-04-07,summer,1,4,0,6,1,3252,3605,6857
2012-04-08,summer,1,4,0,0,1,2230,2939,5169
2012-04-09,summer,1,4,0,1,1,905,4680,5585
2012-04-10,summer,1,4,0,2,1,819,5099,5918
2012-04-11,summer,1,4,0,3,1,482,4380,4862
2012-04-12,summer,1,4,0,4,1,663,4746,5409
2012-04-13,summer,1,4,0,5,1,1252,5146,6398
2012-04-14,summer,1,4,0,6,1,2795,4665,7460
2012-04-15,summer,1,4,0,0,1,2846,4286,7132
2012-04-16,summer,1,4,1,1,1,1198,5172,6370
2012-04-17,summer,1,4,0,2,1,989,5702,6691
2012-04-18,summer,1,4,0,3,2,347,4020,4367
2012-04-19,summer,1,4,0,4,1,846,5719,6565
2012-04-20,summer,1,4,0,5,1,1340,5950,7290
2012-04-21,summer,1,4,0,6,1,2541,4083,6624
2012-04-22,summer,1,4,0,0,3,120,907,1027
2012-04-23,summer,1,4,0,1,2,195,3019,3214
2012-04-24,summer,1,4,0,2,1,518,5115,5633
2012-04-25,summer,1,4,0,3,1,655,5541,6196
2012-04-26,summer,1,4,0,4,2,475,4551,5026
2012-04-27,summer,1,4,0,5,1,1014,5219,6233
2012-04-28,summer,1,4,0,6,2,1120,3100,4220
2012-04-29,summer,1,4,0,0,1,2229,4075,6304
2012-04-30,summer,1,4,0,1,2,665,4907,5572
2012-05-01,summer,1,5,0,2,2,653,5087,5740
2012-05-02,summer,1,5,0,3,1,667,5502,6169
2012-05-03,summer,1,5,0,4,2,764,5657,6421
2012-05-04,summer,1,5,0,5,1,1069,5227,6296
2012-05-05,summer,1,5,0,6,2,2496,4387,6883
2012-05-06,summer,1,5,0,0,2,2135,4224,6359
2012-05-07,summer,1,5,0,1,2,1008,5265,6273
2012-05-08,summer,1,5,0,2,2,738,4990,5728
2012-05-09,summer,1,5,0,3,2,620,4097,4717
